                                               TEST REPORT
----------------------------------------------------------------------------------------------------
Date            : 03-11-2025
Time            : 10-04-17
Unit SI No      : 999
DTC SI No       : 999
Test No         : 999
Inspector's Name: 999
DTC             : Darin3
Iteration Number: 3   Duration        : 0

Test             Itrn No         PASS/FAIL          Date          Time
LoopBack         1                 PASS             03-11-2025    10:04:35
Erase            1                 PASS             03-11-2025    10:04:35
Write            1                 PASS             03-11-2025    10:04:35
Read             1                 PASS             03-11-2025    10:04:35
LoopBack         2                 PASS             03-11-2025    10:04:47
Erase            2                 PASS             03-11-2025    10:04:47
Write            2                 PASS             03-11-2025    10:04:47
Read             2                 PASS             03-11-2025    10:04:47
LoopBack         3                 PASS             03-11-2025    10:05:01
Erase            3                 PASS             03-11-2025    10:05:01
Write            3                 PASS             03-11-2025    10:05:01
Read             3                 PASS             03-11-2025    10:05:01
