                                               TEST REPORT
----------------------------------------------------------------------------------------------------
Date            : 21-09-2025
Time            : 19-07-34
Unit SI No      : 999
DTC SI No       : 999
Test No         : 999
Inspector's Name: 999
DTC             : Darin2
Iteration Number: 0   Duration        : 0

Test             Itrn No         PASS/FAIL          Date          Time
LoopBack         1                 PASS             21-09-2025    19:08:16
Erase            1                 PASS             21-09-2025    19:08:16
Write            1                 PASS             21-09-2025    19:08:16
Read             1                 PASS             21-09-2025    19:08:16
LoopBack         2                 PASS             21-09-2025    19:08:47
Erase            2                 PASS             21-09-2025    19:08:47
Write            2                 PASS             21-09-2025    19:08:47
Read             2                 PASS             21-09-2025    19:08:47
LoopBack         3                 PASS             21-09-2025    19:09:18
Erase            3                 PASS             21-09-2025    19:09:18
Write            3                 PASS             21-09-2025    19:09:18
Read             3                 PASS             21-09-2025    19:09:18
