                                               TEST REPORT
----------------------------------------------------------------------------------------------------
Date            : 12-10-2025
Time            : 22-13-15
Unit SI No      : 999
DTC SI No       : 999
Test No         : 999
Inspector's Name: 999
DTC             : Darin2
Iteration Number: 3   Duration        : 0

Test             Itrn No         PASS/FAIL          Date          Time
LoopBack         1                 PASS             12-10-2025    22:13:30
Erase            1                 PASS             12-10-2025    22:13:30
Write            1                 PASS             12-10-2025    22:13:30
Read             1                 PASS             12-10-2025    22:13:30
LoopBack         2                 PASS             12-10-2025    22:14:17
Erase            2                 PASS             12-10-2025    22:14:17
Write            2                 PASS             12-10-2025    22:14:17
Read             2                 PASS             12-10-2025    22:14:17
LoopBack         3                 PASS             12-10-2025    22:15:03
Erase            3                 PASS             12-10-2025    22:15:03
Write            3                 PASS             12-10-2025    22:15:03
Read             3                 PASS             12-10-2025    22:15:03
