                                               TEST REPORT
----------------------------------------------------------------------------------------------------
Date            : 21-09-2025
Time            : 19-10-48
Unit SI No      : 999
DTC SI No       : 999
Test No         : 999
Inspector's Name: 999
DTC             : Darin2
Iteration Number: 0   Duration        : 0

Test             Itrn No         PASS/FAIL          Date          Time
LoopBack         1                 PASS             21-09-2025    19:11:28
Erase            1                 PASS             21-09-2025    19:11:28
Write            1                 PASS             21-09-2025    19:11:28
Read             1                 PASS             21-09-2025    19:11:28
LoopBack         2                 PASS             21-09-2025    19:11:59
Erase            2                 PASS             21-09-2025    19:11:59
Write            2                 PASS             21-09-2025    19:11:59
Read             2                 PASS             21-09-2025    19:11:59
LoopBack         3                 PASS             21-09-2025    19:12:30
Erase            3                 PASS             21-09-2025    19:12:30
Write            3                 PASS             21-09-2025    19:12:30
Read             3                 PASS             21-09-2025    19:12:30
