                                               TEST REPORT
----------------------------------------------------------------------------------------------------
Date            : 12-10-2025
Time            : 22-13-09
Unit SI No      : 999
DTC SI No       : 999
Test No         : 999
Inspector's Name: 999
DTC             : Darin2
Iteration Number: 0   Duration        : 0

Test             Itrn No         PASS/FAIL          Date          Time
LoopBack         1                 PASS             12-10-2025    22:14:01
Erase            1                 PASS             12-10-2025    22:14:01
Write            1                 PASS             12-10-2025    22:14:01
Read             1                 PASS             12-10-2025    22:14:01
LoopBack         2                 PASS             12-10-2025    22:14:48
Erase            2                 PASS             12-10-2025    22:14:48
Write            2                 PASS             12-10-2025    22:14:48
Read             2                 PASS             12-10-2025    22:14:48
LoopBack         3                 PASS             12-10-2025    22:15:34
Erase            3                 PASS             12-10-2025    22:15:34
Write            3                 PASS             12-10-2025    22:15:34
Read             3                 PASS             12-10-2025    22:15:34
