                                               TEST REPORT
----------------------------------------------------------------------------------------------------
Date            : 21-09-2025
Time            : 19-10-57
Unit SI No      : 999
DTC SI No       : 999
Test No         : 999
Inspector's Name: 999
DTC             : Darin2
Iteration Number: 0   Duration        : 70

Test             Itrn No         PASS/FAIL          Date          Time
LoopBack         1                 PASS             21-09-2025    19:11:12
Erase            1                 PASS             21-09-2025    19:11:12
Write            1                 PASS             21-09-2025    19:11:12
Read             1                 PASS             21-09-2025    19:11:12
LoopBack         2                 PASS             21-09-2025    19:11:43
Erase            2                 PASS             21-09-2025    19:11:43
Write            2                 PASS             21-09-2025    19:11:43
Read             2                 PASS             21-09-2025    19:11:43
LoopBack         3                 PASS             21-09-2025    19:12:14
Erase            3                 PASS             21-09-2025    19:12:14
Write            3                 PASS             21-09-2025    19:12:14
Read             3                 PASS             21-09-2025    19:12:14
