                                               TEST REPORT
----------------------------------------------------------------------------------------------------
Date            : 14-09-2025
Time            : 10-40-27
Unit SI No      : 999
DTC SI No       : 999
Test No         : 999
Inspector's Name: 999
DTC             : Darin2
Iteration Number: 0   Duration        : 70

Test             Itrn No         PASS/FAIL          Date          Time
LoopBack         1                 PASS             14-09-2025    10:40:43
Erase            1                 PASS             14-09-2025    10:40:43
Write            1                 PASS             14-09-2025    10:40:43
Read             1                 PASS             14-09-2025    10:40:43
LoopBack         2                 PASS             14-09-2025    10:40:59
Erase            2                 PASS             14-09-2025    10:40:59
Write            2                 PASS             14-09-2025    10:40:59
Read             2                 PASS             14-09-2025    10:40:59
LoopBack         3                 PASS             14-09-2025    10:41:15
Erase            3                 PASS             14-09-2025    10:41:15
Write            3                 PASS             14-09-2025    10:41:15
Read             3                 PASS             14-09-2025    10:41:15
LoopBack         4                 PASS             14-09-2025    10:41:32
Erase            4                 PASS             14-09-2025    10:41:32
Write            4                 PASS             14-09-2025    10:41:32
Read             4                 PASS             14-09-2025    10:41:32
LoopBack         5                 PASS             14-09-2025    10:41:48
Erase            5                 PASS             14-09-2025    10:41:48
Write            5                 PASS             14-09-2025    10:41:48
Read             5                 PASS             14-09-2025    10:41:48
LoopBack         6                 PASS             14-09-2025    10:42:04
Erase            6                 PASS             14-09-2025    10:42:04
Write            6                 PASS             14-09-2025    10:42:04
Read             6                 PASS             14-09-2025    10:42:04
LoopBack         7                 PASS             14-09-2025    10:42:20
Erase            7                 PASS             14-09-2025    10:42:20
Write            7                 PASS             14-09-2025    10:42:20
Read             7                 PASS             14-09-2025    10:42:20
LoopBack         8                 PASS             14-09-2025    10:42:37
Erase            8                 PASS             14-09-2025    10:42:37
Write            8                 PASS             14-09-2025    10:42:37
Read             8                 PASS             14-09-2025    10:42:37
LoopBack         9                 PASS             14-09-2025    10:42:53
Erase            9                 PASS             14-09-2025    10:42:53
Write            9                 PASS             14-09-2025    10:42:53
Read             9                 PASS             14-09-2025    10:42:53
LoopBack         10                 PASS             14-09-2025    10:43:10
Erase            10                 PASS             14-09-2025    10:43:10
Write            10                 PASS             14-09-2025    10:43:10
Read             10                 PASS             14-09-2025    10:43:10
LoopBack         11                 PASS             14-09-2025    10:43:26
Erase            11                 PASS             14-09-2025    10:43:26
Write            11                 PASS             14-09-2025    10:43:26
Read             11                 PASS             14-09-2025    10:43:26
LoopBack         12                 PASS             14-09-2025    10:43:42
Erase            12                 PASS             14-09-2025    10:43:42
Write            12                 PASS             14-09-2025    10:43:42
Read             12                 PASS             14-09-2025    10:43:42
LoopBack         13                 PASS             14-09-2025    10:43:58
Erase            13                 PASS             14-09-2025    10:43:58
Write            13                 PASS             14-09-2025    10:43:58
Read             13                 PASS             14-09-2025    10:43:58
LoopBack         14                 PASS             14-09-2025    10:44:15
Erase            14                 PASS             14-09-2025    10:44:15
Write            14                 PASS             14-09-2025    10:44:15
Read             14                 PASS             14-09-2025    10:44:15
LoopBack         15                 PASS             14-09-2025    10:44:31
Erase            15                 PASS             14-09-2025    10:44:31
Write            15                 PASS             14-09-2025    10:44:31
Read             15                 PASS             14-09-2025    10:44:31
LoopBack         16                 PASS             14-09-2025    10:44:47
Erase            16                 PASS             14-09-2025    10:44:47
Write            16                 PASS             14-09-2025    10:44:47
Read             16                 PASS             14-09-2025    10:44:47
