                                               TEST REPORT
----------------------------------------------------------------------------------------------------
Date            : 12-10-2025
Time            : 22-13-09
Unit SI No      : 999
DTC SI No       : 999
Test No         : 999
Inspector's Name: 999
DTC             : Darin2
Iteration Number: 0   Duration        : 0

Test             Itrn No         PASS/FAIL          Date          Time
LoopBack         1                 PASS             12-10-2025    22:13:46
Erase            1                 PASS             12-10-2025    22:13:46
Write            1                 PASS             12-10-2025    22:13:46
Read             1                 PASS             12-10-2025    22:13:46
LoopBack         2                 PASS             12-10-2025    22:14:32
Erase            2                 PASS             12-10-2025    22:14:32
Write            2                 PASS             12-10-2025    22:14:32
Read             2                 PASS             12-10-2025    22:14:32
LoopBack         3                 PASS             12-10-2025    22:15:19
Erase            3                 PASS             12-10-2025    22:15:19
Write            3                 PASS             12-10-2025    22:15:19
Read             3                 PASS             12-10-2025    22:15:19
